Date,Open,High,Low,Volume
2018-05-19,136.25,138.01,133.25,91360.79698933
2018-05-18,132.83,137.6,129.1,214566.83459104
2018-05-17,138.32,141.76,131.37,172204.65801774
2018-05-16,139.13,140.99,135.0,180074.75447228
2018-05-15,145.25,149.72,138.1,243641.56124187
2018-05-13,142.24,146.73,137.2,158473.62184293
2018-05-11,151.5,151.5,133.52,464446.89835927
2018-05-09,158.85,160.33,151.05,219020.03542325
2018-05-08,163.44,168.1,157.01,260712.17882514
2018-05-06,177.48,181.95,165.1,295740.81529587
2018-05-04,161.42,171.28,157.19,324066.83359038
2018-05-02,146.98,152.88,146.53,142389.87742807
2018-04-30,153.04,153.79,147.5,149186.34866883
2018-04-27,153.56,154.65,145.29,259554.72588902
2018-04-26,146.21,154.0,142.2,270281.43497429
2018-04-25,165.31,165.79,138.8,641970.1883528
2018-04-24,151.8,165.87,151.65,534098.75963814
2018-04-23,148.88,153.24,146.01,221457.27370303
2018-04-22,146.6,153.0,145.01,194185.16924835
2018-04-21,155.0,157.1,141.02,381544.10743538
2018-04-19,139.8,147.74,138.88,299180.34450735
2018-04-14,126.18,129.96,124.3,207525.12358781
2018-04-11,113.75,115.99,113.21,130637.22708461
2018-04-10,114.43,115.39,112.0,173769.81502441
2018-04-09,117.54,122.97,113.01,311379.16230113
2018-04-06,119.42,120.5,112.15,230446.02816584
2018-04-04,132.35,135.15,115.5,460159.24231722
2018-04-03,118.69,137.89,118.03,420116.46149869
2018-04-02,114.56,121.62,113.84,235221.168154
2018-03-31,116.98,125.8,116.17,318009.92836149
2018-03-30,117.47,126.91,109.27,683953.41671583
2018-03-29,131.86,132.54,112.0,708969.79247634
2018-03-28,139.5,139.99,130.11,330769.31407519
2018-03-27,150.64,152.25,138.15,354014.12059885
2018-03-26,161.0,161.0,142.0,351661.55080408
2018-03-23,163.26,164.75,157.06,225339.70978145
2018-03-22,166.97,172.5,160.11,260456.10048147
2018-03-21,169.0,175.5,165.14,357421.96988423
2018-03-20,159.16,174.0,155.56,393249.19420961
2018-03-19,153.36,164.0,150.46,435918.46150322
2018-03-16,166.36,172.0,158.56,310124.02624411
2018-03-12,188.28,192.89,175.0,325343.24985867
2018-03-09,175.1,190.0,157.27,730825.47596258
2018-03-08,185.4,188.5,174.2,379432.34542099
2018-03-07,198.67,199.35,173.82,592767.69082718
2018-03-05,211.72,214.92,209.2,163238.37308159
2018-03-03,207.67,217.5,207.66,321144.64602418
2018-03-02,210.56,213.3,204.58,196665.32729466
2018-02-27,220.99,222.85,212.1,357629.75557175
2018-02-22,211.0,221.49,188.56,712557.17193612
2018-02-21,235.19,235.59,204.71,891535.40618745
2018-02-20,221.89,251.9,220.55,961336.20148232
2018-02-19,216.21,225.96,213.0,279396.2336782
2018-02-16,216.43,234.75,210.55,703398.12021515
2018-02-12,153.8,163.28,147.62,354097.61491922
2018-02-09,148.18,162.5,142.09,512318.11453791
2018-02-06,123.7,147.98,103.65,1845843.052026
2018-02-05,152.72,153.87,112.0,1324864.2597182
2018-02-04,155.95,175.0,137.0,1171799.8816057
2018-01-31,167.07,167.07,155.0,338918.16708496
2018-01-30,178.51,179.9,158.2,391242.17276736
2018-01-29,190.56,191.75,175.56,216170.62195757
2018-01-25,178.99,184.8,175.0,237106.22953355
2018-01-24,180.72,184.69,172.23,261293.5826239
2018-01-22,187.06,194.7,165.5,437504.26807403
2018-01-19,192.6,203.0,187.1,421964.50250279
2018-01-18,190.0,211.0,176.31,882641.48327966
2018-01-17,183.55,216.0,135.0,1689310.2340692
2018-01-16,235.95,235.95,146.6,1373592.9829362
2018-01-15,241.25,244.2,235.0,204574.25399216
2018-01-14,261.88,268.0,233.82,434143.03437283
2018-01-13,233.9,261.86,233.88,336870.00729576
2018-01-12,225.19,241.99,220.0,356311.77224066
2018-01-11,243.28,253.42,219.07,605150.03397277
2018-01-10,245.05,249.67,232.51,464657.69913811
2018-01-09,252.06,258.75,238.75,392231.04514549
2018-01-08,275.55,276.97,231.42,589194.72390154
2018-01-07,281.26,286.95,265.24,387996.89422715
2018-01-06,246.0,304.0,245.0,918372.14808141
2018-01-05,235.89,251.97,235.6,498915.7240167
2018-01-04,243.11,246.0,226.79,536376.33148937
2018-01-03,252.2,258.54,240.56,452897.91988181
2018-01-02,227.12,262.0,225.2,724546.44176248
2018-01-01,231.48,232.29,217.66,265485.12558296
2017-12-31,222.51,237.88,210.0,456580.45925633
2017-12-30,248.64,248.94,206.0,629452.89562604
2017-12-29,243.26,259.5,236.5,488373.51089932
2017-12-28,262.0,266.0,223.59,741708.50272027
2017-12-27,279.45,286.46,252.81,492819.02639539
2017-12-26,273.49,286.99,273.02,361264.44341612
2017-12-25,274.0,287.4,271.12,314751.05588044
2017-12-24,299.56,301.99,254.0,799269.83155635
2017-12-23,292.45,321.85,251.2,1051303.33476
2017-12-22,309.11,311.99,144.0,3424026.6910999
2017-12-21,304.59,327.99,291.0,717508.58568818
2017-12-20,345.28,353.0,275.0,1631226.5771822
2017-12-19,363.1,380.0,324.67,1643516.650178
2017-12-18,328.22,366.9,305.77,1158202.9071461
2017-12-17,299.42,334.87,298.5,998676.4333445
2017-12-16,304.44,314.97,280.0,857866.0600124
2017-12-15,276.52,322.97,252.22,1865228.0817621
2017-12-14,315.52,324.62,256.1,1557169.8652843
2017-12-13,352.32,372.55,275.0,2563161.6801099
