Date,Open,High,Low,Volume
2017-01-16,4.01,4.1,3.95,1496.63730284
2017-01-15,3.97,4.25,3.92,1902.31915027
2017-01-14,4.03,4.05,3.9,729.59562931
2017-01-13,4.0,4.14,3.79,5924.21040933
2017-01-12,4.59,4.68,3.93,2430.55468479
2017-01-11,4.18,4.75,4.04,2519.55819666
2017-01-10,4.03,4.4,3.89,2350.52896932
2017-01-09,3.99,4.4,3.99,662.74881014
2017-01-08,3.93,4.49,3.66,3236.49203801
2017-01-07,4.24,4.39,3.83,2260.62422717
2017-01-06,4.88,4.88,3.88,6953.20469823
2017-01-05,4.54,5.99,4.45,8953.38564012
2017-01-04,4.56,4.65,4.42,1600.82097023
2017-01-03,4.47,4.9,4.4,5942.10403011
2017-01-02,4.38,4.57,4.34,3108.3922622
2017-01-01,4.39,4.48,4.28,1399.91904233
2016-12-31,4.69,4.69,4.21,426.94785599
2016-12-30,4.63,5.0,4.4,1370.34090394
2016-12-29,4.33,4.6,4.3,1945.50379097
2016-12-28,4.25,4.52,4.18,1164.89226659
2016-12-27,4.3,4.37,4.13,471.88539938
2016-12-26,4.37,4.49,4.08,2399.39612917
2016-12-25,4.6,5.14,4.2,5627.16311336
2016-12-24,3.76,4.61,3.65,6043.75896313
2016-12-23,3.65,3.88,3.62,2625.41123032
2016-12-22,3.64,3.91,3.62,1395.81833929
2016-12-21,3.66,3.69,3.61,117.18351498
2016-12-20,3.69,3.71,3.61,69.12426953
2016-12-19,3.69,3.73,3.62,270.11019021
2016-12-18,3.63,3.72,3.6,205.3714481
2016-12-17,3.64,3.68,3.56,178.68912666
2016-12-16,3.69,3.7,3.5,313.69703983
2016-12-15,3.62,3.66,3.6,278.33314726
2016-12-14,3.66,3.68,3.62,13.075736
2016-12-13,3.66,3.69,3.62,247.36596667
2016-12-12,3.65,3.7,3.61,51.114293
2016-12-11,3.7,3.72,3.63,62.14280756
2016-12-10,3.69,3.74,3.61,260.47930951
2016-12-09,3.65,3.77,3.63,1824.5135749
2016-12-08,3.52,3.86,3.49,1148.402324
2016-12-07,3.47,3.56,3.42,192.57790562
2016-12-06,3.88,3.88,3.32,4950.77124981
2016-12-05,3.89,3.92,3.86,158.26203601
2016-12-04,3.89,3.9,3.87,100.42959527
2016-12-03,3.89,3.94,3.87,405.94085679
2016-12-02,3.88,3.89,3.84,175.47655785
2016-12-01,3.84,3.98,3.51,1834.48678013
2016-11-30,3.84,3.91,3.81,723.31216028
2016-11-29,3.89,3.92,3.81,976.94630694
2016-11-28,3.88,3.89,3.82,149.15449702
2016-11-27,3.91,3.91,3.81,1259.46097647
2016-11-26,3.89,3.91,3.85,172.33157342
2016-11-25,3.89,3.93,3.86,190.51390208
2016-11-24,3.97,3.97,3.86,334.49328894
2016-11-23,3.93,3.99,3.88,873.21722619
2016-11-22,3.88,3.93,3.87,130.56804247
2016-11-21,3.94,3.99,3.86,164.1882704
2016-11-20,3.88,3.99,3.85,256.35493303
2016-11-19,3.86,3.95,3.85,385.55795147
2016-11-18,3.94,3.96,3.81,2422.79564119
2016-11-17,3.93,4.06,3.86,2465.76982702
2016-11-16,3.86,3.96,3.84,733.23393015
2016-11-15,3.85,3.91,3.81,454.16813561
2016-11-14,3.77,3.94,3.65,3254.2436655
2016-11-13,3.85,3.85,3.72,2330.77191386
2016-11-12,3.84,3.86,3.79,192.26293401
2016-11-11,3.85,3.94,3.79,297.62429801
2016-11-10,3.84,3.99,3.77,2068.25843906
2016-11-09,3.89,3.91,3.84,477.47407023
2016-11-08,3.87,3.92,3.83,517.64928536
2016-11-06,3.86,3.93,3.85,57.15839582
2016-11-05,3.88,3.94,3.86,269.721605
2016-11-04,3.89,3.98,3.77,2540.16294301
2016-11-03,4.07,4.34,3.8,5246.37365236
2016-11-02,4.12,4.35,3.99,1361.95719469
2016-11-01,3.98,4.5,3.92,2693.76536003
2016-10-31,4.0,4.07,3.92,277.536343
2016-10-30,4.24,4.25,4.0,768.19422849
2016-10-29,3.9,4.24,3.9,1304.19374833
2016-10-28,3.99,4.02,3.88,735.63623
2016-10-27,3.89,4.14,3.89,1596.91708355
2016-10-26,3.85,3.96,3.76,2819.3274945
2016-10-25,3.82,3.88,3.8,514.17870205
2016-10-24,3.88,3.89,3.82,449.69921483
2016-10-23,3.84,3.89,3.7,1295.29654843
2016-10-22,3.79,3.88,3.75,1069.41403792
2016-10-21,3.8,3.81,3.75,594.79127836
2016-10-20,3.79,3.81,3.78,259.96955288
2016-10-19,3.91,3.91,3.79,1271.12071988
2016-10-18,3.86,3.9,3.8,631.87737683
2016-10-17,3.88,3.94,3.84,215.77607041
2016-10-16,3.86,3.94,3.94,13.232177
2016-10-15,3.83,3.94,3.89,95.75428029
2016-10-14,3.82,3.92,3.83,41.21454918
2016-10-13,3.8,3.93,3.8,2328.76886447
2016-10-12,3.79,3.83,3.83,361.49166126
2016-10-11,3.75,3.84,3.79,939.69373486
2016-10-10,3.79,3.84,3.84,507.310121
2016-10-09,3.8,3.86,3.86,61.87969416
2016-10-08,3.8,3.88,3.86,449.02677586
2016-10-07,3.8,3.87,3.82,210.94599755
2016-10-06,3.78,3.86,3.84,2211.69074185
2016-10-05,3.79,3.91,3.81,1121.28225146
2016-10-04,3.81,3.9,3.83,2314.12268166
2016-10-03,3.83,3.94,3.83,787.89818079
2016-10-02,3.82,3.86,3.85,95.21214912
2016-10-01,3.81,3.86,3.81,382.93188769
2016-09-30,3.8,3.87,3.87,1089.14031204
2016-09-29,3.81,3.88,3.81,109.71488795
2016-09-28,3.79,3.9,3.85,323.28097636
2016-09-27,3.79,3.88,3.88,979.69308301
2016-09-26,3.79,4.0,3.84,822.08343536
2016-09-25,3.8,3.86,3.86,243.9143566
2016-09-24,3.83,4.06,4.06,231.39109866
2016-09-23,3.77,4.2,3.79,768.69918769
2016-09-22,3.76,5.05,3.76,2472.2912189
2016-09-21,3.61,6.72,3.81,2314.96967963
2016-09-20,3.8,4.0,3.85,1888.36822494
2016-09-19,3.76,3.93,3.87,1152.56735647
2016-09-18,3.81,3.87,3.82,1268.13234853
2016-09-17,3.81,3.88,3.88,213.26072059
2016-09-16,3.8,3.89,3.83,326.54079783
2016-09-15,3.81,3.95,3.83,596.04151613
2016-09-14,3.8,3.85,3.85,62.00213935
2016-09-13,3.8,3.88,3.88,335.83716651
2016-09-12,3.77,3.96,3.93,836.43497355
2016-09-11,3.86,4.04,4.0,1165.51276772
2016-09-10,3.95,4.0,3.96,19.294452
2016-09-09,3.94,4.02,3.97,395.95176374
2016-09-08,3.95,4.03,3.97,81.04091099
2016-09-07,3.91,4.03,3.95,502.700852
2016-09-06,3.91,3.98,3.96,644.21801065
2016-09-05,3.94,4.07,4.01,450.68590894
2016-09-04,3.85,4.08,3.99,1144.966193
2016-09-03,3.8,3.99,3.84,1734.6187445
2016-09-02,3.67,4.35,3.67,2725.27020995
2016-09-01,3.26,3.9,3.74,3631.15231935
2016-08-31,3.74,3.85,3.81,339.89777816
2016-08-30,3.74,3.85,3.74,352.57963435
2016-08-29,3.7,3.84,3.7,909.33337911
2016-08-28,3.72,3.78,3.72,0.204672
2016-08-27,3.62,3.85,3.85,1150.72220744
2016-08-26,3.77,3.9,3.81,3336.89310108
2016-08-25,3.75,3.88,3.82,4985.64064162
2016-08-24,3.61,3.96,3.95,5183.1351851
2016-08-23,3.61,5.49,3.99,5619.78814766
